player_id,player_name,primary_position,team_name,competition_name,cluster,pca_x,pca_y,tsne_x,tsne_y
4633,Magdalena Lilly Eriksson,Left Center Back,Chelsea FCW,FA Women's Super League,7,0.22739845857880464,2.683587093305878,3.3435838,58.920555
4636,Maria Thorisdottir,Right Center Midfield,Chelsea FCW,FA Women's Super League,7,0.7272431040411744,1.8752407810015734,12.328812,47.982094
4638,Drew Spence,Left Center Midfield,Chelsea FCW,FA Women's Super League,1,1.799746953486187,-0.709088204542903,32.191982,-21.222242
4640,Rut Hedvig Lindahl,Goalkeeper,Chelsea FCW,FA Women's Super League,0,-3.5548168321535796,1.054472880041997,-41.21045,36.53822
4641,Francesca Kirby,Left Center Forward,Chelsea FCW,FA Women's Super League,3,2.259297737637045,-3.535507110945019,32.741543,-50.261925
4642,Millie Bright,Center Back,Chelsea FCW,FA Women's Super League,7,1.4385349749922975,3.6092449267941706,6.454463,61.241608
4647,So-Yun Ji,Center Midfield,Chelsea FCW,FA Women's Super League,7,3.9994551365858015,0.8442819237264432,27.35918,56.33049
4657,Anita Amma Ankyewah Asante,Center Back,Chelsea FCW,FA Women's Super League,2,-0.4474940928725994,0.8344109493893551,-0.8576818,11.750574
4659,Ramona Bachmann,Right Center Forward,Chelsea FCW,FA Women's Super League,4,2.5742193558258477,-2.5543256035979907,30.224394,-41.975937
4660,Erin Cuthbert,Right Center Midfield,Chelsea FCW,FA Women's Super League,4,3.802465461445978,-1.9046412893387936,50.849888,-31.435974
5088,Crystal Alyssia Dunn Soubrier,Left Midfield,Chelsea FCW,FA Women's Super League,4,2.0949044878729377,-1.209051921468454,31.837603,-35.337124
10395,Maren Nævdal Mjelde,Left Center Midfield,Chelsea FCW,FA Women's Super League,7,0.8046700417897251,2.4482616978488427,4.4595046,58.48743
17275,Hannah Jayne Blundell,Right Midfield,Chelsea FCW,FA Women's Super League,7,2.801165435991508,2.9198833441805796,17.908398,55.069183
4637,Ellie Roebuck,Goalkeeper,Manchester City WFC,FA Women's Super League,0,-2.9098108682022277,2.006711779530314,-41.96071,33.784805
4643,Georgia Stanway,Left Center Midfield,Manchester City WFC,FA Women's Super League,4,2.9304425822971156,-2.0715631110517787,30.7534,-51.96535
4645,Isobel Mary Christiansen,Left Center Midfield,Manchester City WFC,FA Women's Super League,7,1.211519635931423,0.7175040363804207,21.830431,47.993366
4646,Claire Emslie,Left Wing,Manchester City WFC,FA Women's Super League,4,0.9576260479301113,-2.577303661233226,29.98854,-35.383286
4648,Abbie McManus,Right Center Back,Manchester City WFC,FA Women's Super League,7,0.8005388002398581,3.214114649471855,5.878423,54.40355
4649,Esme Beth Morgan,Right Back,Manchester City WFC,FA Women's Super League,7,0.9544325470129222,2.9198182179154,4.378038,49.474663
4650,Nadia Nadim,Center Forward,Manchester City WFC,FA Women's Super League,3,0.4388398277581613,-4.300731901964151,3.38569,-47.341393
4651,Demi Stokes,Left Back,Manchester City WFC,FA Women's Super League,7,2.0184538489997936,2.576775933672346,17.51695,52.109245
4653,Jane Ross,Center Forward,Manchester City WFC,FA Women's Super League,6,0.15399229407996087,-3.2082122233069987,5.548862,-52.82757
4654,Nikita Parris,Right Wing,Manchester City WFC,FA Women's Super League,3,2.610952530463239,-5.413976020772706,16.88652,-66.2635
4658,Keira Walsh,Center Midfield,Manchester City WFC,FA Women's Super League,7,2.251723437759002,2.671045531301809,18.408583,53.063572
10172,Jill Scott,Right Center Midfield,Manchester City WFC,FA Women's Super League,1,2.1275518568913547,0.3161095807601098,33.22843,-16.766426
17524,Jennifer Patricia Beattie,Left Center Back,Manchester City WFC,FA Women's Super League,7,1.3640180908000485,4.236693450305541,5.9325,65.43653
4940,Andi Sullivan,Center Defensive Midfield,Washington Spirit,NWSL,1,1.1645528435837138,0.09915317545170112,22.65548,20.720427
4941,Taylor Smith,Right Back,Washington Spirit,NWSL,1,1.2592901896554485,0.8538241501277894,44.311325,5.2256875
4943,Estelle Johnson,Left Center Back,Washington Spirit,NWSL,1,-0.302437573525041,1.0392718783879822,6.959323,5.37842
