player_id,player_name,primary_position,team_name,competition_name,goals_per90_scaled,assists_per90_scaled,shots_per90_scaled,shots_on_target_per90_scaled,xg_per90_scaled,passes_attempted_per90_scaled,passes_completed_per90_scaled,progressive_passes_per90_scaled,dribbles_attempted_per90_scaled,dribbles_completed_per90_scaled,carries_per90_scaled,tackles_per90_scaled,tackles_won_per90_scaled,interceptions_per90_scaled,pressures_per90_scaled,aerial_duels_per90_scaled,aerial_duels_won_per90_scaled,duels_per90_scaled,duels_won_per90_scaled,pass_accuracy_scaled,dribble_success_rate_scaled,tackle_success_rate_scaled,aerial_success_rate_scaled,duel_success_rate_scaled
26398,Asier del Horno Cosgaya,Left Back,Valencia,La Liga,-0.4794,-0.4748,0.0451,0.3543,-0.155,-0.8321,-0.7001,-0.3805,0.0914,0.2787,-0.8094,1.8868,0.2103,0.0578,-0.1359,-1.0054,0.0,0.4946,0.2103,0.1867,0.5956,-0.4392,0.0,-0.0009
26210,Christian Riganò,Right Center Forward,Levante UD,La Liga,-0.4794,-0.4748,0.8659,3.1781,0.2268,-1.0825,-1.3546,-1.3256,-0.9506,-0.8806,-1.7687,-1.3707,-0.9267,-1.1531,-1.112,0.2972,0.0,-0.6925,-0.9267,-2.7141,-1.3986,-1.0382,0.0,-0.9172
26213,Bruno Cirillo,Left Center Back,Levante UD,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-1.4136,-1.0031,-0.8438,-0.9506,-0.8806,-1.163,0.8656,1.1405,-1.1531,-0.6365,-1.0054,0.0,-0.1916,1.1405,1.7535,-1.3986,0.5574,0.0,1.5238
26409,Sergio Rodríguez García,Center Defensive Midfield,Barcelona,La Liga,-0.4794,-0.4748,-0.487,-0.7168,-0.6005,-0.2453,-0.0751,0.1382,-0.3216,0.1723,-0.2,0.8432,0.1069,-0.0533,-0.3535,-0.6798,0.0,0.0438,0.1069,0.7266,1.5912,-0.238,0.0,0.131
26410,Ronald Louis Gaspercic,Goalkeeper,Albacete,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-1.0163,-1.0031,-0.6833,-0.9506,-0.8806,-1.3901,-1.3707,-0.9267,-1.1531,-1.8254,-1.0054,0.0,-1.6943,-0.9267,-0.745,-1.3986,-1.0382,0.0,-0.9172
26411,Óscar Montiel Marín,Right Back,Albacete,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,0.8382,0.5435,0.8424,-0.3153,-0.8806,-0.7845,1.611,1.1405,-1.1531,0.0769,-0.3541,0.0,0.8102,1.1405,-0.3003,-1.3986,0.1597,0.0,0.5489
26414,Gustavo Lionel Siviero,Left Center Back,Albacete,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-1.0163,-1.0734,-1.0847,-0.3153,0.183,-1.163,0.1202,1.1405,-1.1531,-0.9931,-1.0054,0.0,-0.6925,1.1405,-1.179,1.5912,1.3576,0.0,2.748
26415,Mikel Aguirregomezkorta Larrea,Center Forward,Albacete,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-0.95,-0.8625,-1.165,-0.3153,-0.8806,-1.0116,-0.6253,1.1405,-1.1531,-0.6365,2.251,0.0,1.3111,1.1405,-0.1945,-1.3986,3.7533,0.0,0.307
7669,Marcos García Barreno,Left Wing,Villarreal,La Liga,1.2512,-0.4748,-0.6223,-0.0352,-0.4096,-1.3878,-1.3279,-1.2244,0.625,-0.1255,-0.7186,0.2096,0.541,-0.7643,0.5715,-0.315,0.0,-0.1015,0.541,-1.1155,-0.5435,0.5574,0.0,0.7101
23804,Jonathan Pereira Rodríguez,0,Villarreal,La Liga,1.1523,1.3782,1.1545,1.2111,0.6087,-1.5752,-1.337,-1.3569,2.207,0.5233,-0.4445,0.1127,-0.9267,-1.1531,0.6535,0.2906,0.0,0.2942,-0.9267,0.0914,-0.6003,-1.0382,0.0,-0.9172
26418,José Enrique de la Sánchez Diaz,Left Back,Villarreal,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,0.0434,0.1217,0.3606,0.3201,0.183,0.1241,1.611,-0.9267,-0.0422,0.6713,-1.0054,0.0,0.3093,-0.9267,0.4937,0.0963,-1.0382,0.0,-0.9172
26705,José Miguel González Rey,0,Villarreal,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-0.354,-0.3001,0.0394,-0.9506,-0.8806,-1.3901,2.3564,5.2749,-0.0422,-0.7553,-1.0054,0.0,0.8102,5.2749,0.1655,-1.3986,1.8367,0.0,3.481
13817,José Francisco Molina Jiménez,Goalkeeper,Levante UD,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-0.8838,-0.9328,-0.603,-0.9506,-0.8806,-1.8444,-1.3707,-0.9267,-1.1531,-1.8254,-1.0054,0.0,-1.6943,-0.9267,-0.9144,-1.3986,-1.0382,0.0,-0.9172
26428,Narcisse-Olivier Kapo Obou,Left Wing,Levante UD,La Liga,-0.4794,-0.4748,0.8659,1.2306,-0.2823,-1.1487,-1.214,-1.4059,0.3201,-0.8806,-0.1031,0.1202,3.2077,1.0687,0.1958,1.5997,0.0,1.3111,3.2077,-1.5072,-1.3986,3.7533,0.0,1.5238
17730,Cosmin Marius Contra,Right Back,Getafe,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,0.8826,0.9421,1.1097,1.5907,1.9591,0.3762,2.1104,0.4584,-1.1531,1.028,-0.569,0.0,0.9755,0.4584,0.7372,0.5956,-0.353,0.0,-0.0009
24507,Manuel del Moral Fernández,Right Center Forward,Getafe,La Liga,1.1523,-0.4748,1.1184,1.8148,0.9905,-1.0673,-1.046,-1.0719,0.4281,0.0447,-0.4248,-0.8862,-0.4719,-0.5532,0.1363,0.0562,0.0,-0.5523,-0.4719,-0.7661,-0.2027,0.5574,0.0,-0.2208
26425,Juan Ángel Albín Leites,Left Midfield,Getafe,La Liga,0.7073,-0.4748,0.9741,0.6659,0.545,-0.7825,-0.8414,-0.8768,0.5424,0.619,-0.125,-1.0203,-0.4305,-1.1531,-0.1752,0.0692,0.0,-0.6324,-0.4305,-0.8191,0.3953,1.3576,0.0,-0.1035
26427,Roberto Carlos Abbondanzieri,Goalkeeper,Getafe,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-0.9169,-1.0734,-0.7635,-0.6329,-0.3488,-1.0494,-1.3707,-0.9267,-1.1531,-1.8254,-1.0054,0.0,-1.6943,-0.9267,-1.6025,1.5912,-1.0382,0.0,-0.9172
26429,Javier Paredes Arango,Left Back,Getafe,La Liga,-0.4794,-0.4748,-0.5682,-0.3273,-0.3459,-0.5573,-0.5279,-0.4038,-0.8235,-0.6679,-0.7322,-0.6103,-0.0791,0.2133,-0.5104,-0.4713,0.0,-0.7727,-0.0791,-0.1098,1.5912,0.8784,0.0,0.7101
3095,Bruno Saltor Grau,Right Back,Almería,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,0.2335,0.1555,0.2281,0.0278,0.0234,-0.2681,1.4321,0.479,1.5019,0.1244,-0.4518,0.0,0.6148,0.479,0.0279,0.2637,-0.1661,0.0,0.1677
20542,Álvaro Negredo Sánchez,Center Forward,Almería,La Liga,1.2512,0.3675,1.4702,1.0164,2.0088,-0.9646,-0.9595,-1.0968,0.1485,0.1191,-0.8708,-1.0427,-0.7199,-0.931,-0.728,2.0491,0.0,0.8753,-0.7199,-0.7132,0.2249,0.0255,0.0,-0.7779
26432,Miguel Ángel García Pérez Roldán,Left Center Midfield,Almería,La Liga,0.5095,0.6482,-0.2074,-0.3273,-0.2823,-0.0718,-0.1883,-0.2376,0.4535,0.8317,-0.2098,-1.2216,-0.9267,-0.2533,0.2101,-0.7449,0.0,-1.3938,-0.9267,-0.3321,0.775,-1.0382,0.0,-0.9172
26434,Santiago Wilmer Acasiete Ariadela,Left Center Back,Almería,La Liga,-0.4794,-0.4748,-0.7576,-0.7168,-0.6005,-0.9633,-0.6797,-0.4263,-0.6965,-0.6679,-1.1024,-0.3271,-0.0998,0.6243,-0.5413,-0.7449,0.0,-0.7927,-0.0998,0.9807,0.0963,0.3322,0.0,0.7101
26435,Fernando Soriano Marco,Right Center Midfield,Almería,La Liga,-0.4794,0.5359,0.0542,0.3543,-0.155,-0.5182,-0.5616,-0.4592,-0.3661,-0.6892,-0.4945,0.2692,-0.5546,0.2688,1.3776,0.4274,0.0,0.5096,-0.5546,-0.4274,-0.8006,-0.6405,0.0,-0.6093
26436,José Manuel Jiménez Ortiz,Left Back,Almería,La Liga,-0.4794,-0.4748,-0.469,-0.3858,-0.6005,0.5547,0.476,0.3951,0.0405,0.2255,0.1362,-0.4687,-0.2031,-0.3866,-0.2215,-0.3281,0.0,-0.5673,-0.2031,0.1972,0.5956,0.3322,0.0,0.2117
